"","ID_School","School","Latitude","longitude"
"1",1,"Bessierhodes",42.046063,-87.721719
"2",2,"Dawes",42.026,-87.70054
"3",3,"Dewey",42.046003,-87.691322
"4",4,"Kingsley",42.060207,-87.695486
"5",5,"Lincoln",42.034599,-87.675571
"6",6,"Lincolnwood",42.060931,-87.708882
"7",7,"Martinlutherkingjr",42.043749,-87.708064
"8",8,"Oakton",42.02625,-87.686592
"9",9,"Orrington",42.065686,-87.679817
"10",10,"Walker",42.047731,-87.718911
"11",11,"Washington",42.034379,-87.693499
"12",12,"Willard",42.067031,-87.716821
