NEW_OBJECTID,OLD_OBJECTID,LINEARID,NAME,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,Truck_Route,START_BLK,END_BLK,START_ZONE,END_ZONE,DST_1,DST_2,DST_3,DST_4,DST_5,DST_6,DST_7,DST_8,DST_9,DST_10,DST_11,DST_12,Border,NSEW,Deadend,Block_ID,X_BLOCKS,Y_BLOCKS
1,1,1.10E+12,Church St,-87.697444,42.048408,-87.69755599,42.04840499,-87.697668,42.048403,Y,1.70E+11,1.70E+11,R4,R4,2756.405449,2518.148939,578.6575452,1331.038401,2377.411166,1682.224157,1008.72774,2637.07492,2421.259587,1757.206216,1603.971132,2616.912007,N,N,0,1,-87.69770952,42.04896864
587,587,1.10E+12,Church St,-87.697668,42.048403,-87.69833063,42.0483821,-87.698993,42.048366,Y,1.70E+11,1.70E+11,R4,B2,2599.000085,2510.189169,634.6706182,1343.188325,2424.557935,1650.013812,953.3597932,2657.136316,2462.143303,1693.47246,1615.933154,2580.948763,N,N,0,1,-87.69770952,42.04896864
1086,1086,1.10E+11,Darrow Ave,-87.697444,42.048408,-87.69742423,42.04931648,-87.697407,42.050225,N,1.70E+11,1.70E+11,R4,R4,1870.386721,2620.675001,623.7283005,1228.536701,2436.860911,1604.632811,1073.75375,2729.554324,2333.933281,1775.289025,1701.741742,2543.261338,N,W,0,1,-87.69770952,42.04896864
2278,1,1.10E+12,Church St,-87.697444,42.048408,-87.69755599,42.04840499,-87.697668,42.048403,Y,1.70E+11,1.70E+11,R4,R4,2756.405449,2518.148939,578.6575452,1331.038401,2377.411166,1682.224157,1008.72774,2637.07492,2421.259587,1757.206216,1603.971132,2616.912007,N,S,0,1,-87.69770952,42.04896864
2280,3,1.10E+11,Lyons St,-87.697407,42.050225,-87.69818048,42.05021096,-87.698954,42.0502,N,1.70E+11,1.70E+11,R4,R3,497.6668131,2715.116014,734.4747199,1139.835441,2550.484935,1487.160474,1087.504556,2844.538209,2296.656112,1726.655687,1812.258182,2426.37668,N,S,0,1,-87.69770952,42.04896864
2282,5,1.10E+12,Dodge Ave,-87.698993,42.048366,-87.69897265,42.04928298,-87.698954,42.0502,Y,1.70E+11,1.70E+11,B2,R3,537.935526,2607.56249,728.1467271,1255.072048,2529.750882,1536.566859,970.4643559,2770.223164,2417.767125,1648.282002,1726.786825,2468.47924,N,E,0,1,-87.69770952,42.04896864
3303,1070,1.10E+12,Church St,-87.69502,42.048453,-87.69623199,42.04843015,-87.697444,42.048408,Y,1.70E+11,1.70E+11,OS,R4,2968.605211,2533.862368,486.4607707,1318.729487,2297.630972,1742.555653,1104.709945,2604.552953,2355.013533,1866.072919,1587.700382,2681.982547,N,S,0,1,-87.69770952,42.04896864
3319,1086,1.10E+11,Darrow Ave,-87.697444,42.048408,-87.69742423,42.04931648,-87.697407,42.050225,N,1.70E+11,1.70E+11,R4,R4,1870.386721,2620.675001,623.7283005,1228.536701,2436.860911,1604.632811,1073.75375,2729.554324,2333.933281,1775.289025,1701.741742,2543.261338,N,E,0,1,-87.69770952,42.04896864
2,2,1.10E+11,Darrow Ave,-87.697772,42.04707,-87.69767999,42.04771847,-87.697668,42.048403,N,1.70E+11,1.70E+11,R3,R4,2710.227544,2440.730969,556.8058487,1408.503054,2336.192446,1741.290514,962.2577291,2568.646633,2488.998845,1745.403397,1531.198666,2672.442516,N,W,0,2,-87.69850971,42.04717453
557,557,1.10E+11,Davis St,-87.697772,42.04707,-87.69839484,42.04705087,-87.699018,42.047038,N,1.70E+11,1.70E+11,R3,R3,2364.330447,2361.297747,593.1645663,1490.884158,2336.954836,1775.846984,876.5389976,2521.012867,2583.966641,1688.357925,1473.485957,2699.764005,N,N,0,2,-87.69850971,42.04717453
558,558,1.10E+12,Dodge Ave,-87.699079,42.044208,-87.69904858,42.045623,-87.699018,42.047038,Y,1.70E+11,1.70E+11,R3,R3,2030.16002,2198.407538,636.6406609,1657.379374,2290.554986,1893.496559,770.2621002,2396.877262,2745.048614,1649.851889,1337.930702,2805.044971,N,W,0,2,-87.69850971,42.04717453
588,588,1.10E+12,Dodge Ave,-87.699018,42.047038,-87.69900499,42.04770199,-87.698993,42.048366,Y,1.70E+11,1.70E+11,R3,B2,2773.447956,2430.811591,659.5976193,1428.35041,2420.806385,1687.844082,866.1317541,2607.606577,2556.214999,1636.477896,1557.509353,2611.332606,N,W,0,2,-87.69850971,42.04717453
2279,2,1.10E+11,Darrow Ave,-87.697772,42.04707,-87.69767999,42.04771847,-87.697668,42.048403,N,1.70E+11,1.70E+11,R3,R4,2710.227544,2440.730969,556.8058487,1408.503054,2336.192446,1741.290514,962.2577291,2568.646633,2488.998845,1745.403397,1531.198666,2672.442516,N,E,0,2,-87.69850971,42.04717453
2812,557,1.10E+11,Davis St,-87.697772,42.04707,-87.69839484,42.04705087,-87.699018,42.047038,N,1.70E+11,1.70E+11,R3,R3,2364.330447,2361.297747,593.1645663,1490.884158,2336.954836,1775.846984,876.5389976,2521.012867,2583.966641,1688.357925,1473.485957,2699.764005,N,S,0,2,-87.69850971,42.04717453
2813,558,1.10E+12,Dodge Ave,-87.699079,42.044208,-87.69904858,42.045623,-87.699018,42.047038,Y,1.70E+11,1.70E+11,R3,R3,2030.16002,2198.407538,636.6406609,1657.379374,2290.554986,1893.496559,770.2621002,2396.877262,2745.048614,1649.851889,1337.930702,2805.044971,N,E,0,2,-87.69850971,42.04717453
2842,587,1.10E+12,Church St,-87.697668,42.048403,-87.69833063,42.0483821,-87.698993,42.048366,Y,1.70E+11,1.70E+11,R4,B2,2599.000085,2510.189169,634.6706182,1343.188325,2424.557935,1650.013812,953.3597932,2657.136316,2462.143303,1693.47246,1615.933154,2580.948763,N,S,0,2,-87.69850971,42.04717453
2843,588,1.10E+12,Dodge Ave,-87.699018,42.047038,-87.69900499,42.04770199,-87.698993,42.048366,Y,1.70E+11,1.70E+11,R3,B2,2773.447956,2430.811591,659.5976193,1428.35041,2420.806385,1687.844082,866.1317541,2607.606577,2556.214999,1636.477896,1557.509353,2611.332606,N,E,0,2,-87.69850971,42.04717453
3,3,1.10E+11,Lyons St,-87.697407,42.050225,-87.69818048,42.05021096,-87.698954,42.0502,N,1.70E+11,1.70E+11,R4,R3,497.6668131,2715.116014,734.4747199,1139.835441,2550.484935,1487.160474,1087.504556,2844.538209,2296.656112,1726.655687,1812.258182,2426.37668,N,N,0,3,-87.69772606,42.0508897
1087,1087,1.10E+11,Lyons St,-87.696646,42.050231,-87.69702649,42.050227,-87.697407,42.050225,N,1.70E+11,1.70E+11,R4,R4,1870.088615,2725.324534,665.7061862,1123.473824,2483.448546,1543.772869,1161.221114,2815.885134,2234.068021,1820.629196,1796.275004,2486.005984,N,N,1,3,-87.69772606,42.0508897
1088,1088,1.10E+11,Darrow Ave,-87.697407,42.050225,-87.69738612,42.05116597,-87.697368,42.052107,N,1.70E+11,1.70E+11,R4,R4,3355.663005,2826.91816,762.9187528,1023.275983,2578.933024,1444.301609,1207.84226,2924.930615,2173.325663,1810.751505,1904.738947,2387.692524,N,W,0,3,-87.69772606,42.0508897
2728,472,1.10E+12,Dodge Ave,-87.698954,42.0502,-87.69893423,42.05113898,-87.698917,42.052078,Y,1.70E+11,1.70E+11,R3,R4,2644.725729,2815.07826,849.5045484,1053.164528,2666.923075,1366.858619,1116.528534,2963.196943,2262.054128,1685.913784,1927.240106,2306.82361,N,E,0,3,-87.69772606,42.0508897
2729,473,1.10E+11,Emerson St,-87.697368,42.052107,-87.69814249,42.05209199,-87.698917,42.052078,Y,1.70E+11,1.70E+11,R4,R4,3374.091493,2925.229451,882.1965242,933.6009734,2696.740075,1325.447826,1239.422343,3042.622962,2140.331741,1775.64564,2017.762491,2269.224727,N,S,0,3,-87.69772606,42.0508897
3320,1087,1.10E+11,Lyons St,-87.696646,42.050231,-87.69702649,42.050227,-87.697407,42.050225,N,1.70E+11,1.70E+11,R4,R4,1870.088615,2725.324534,665.7061862,1123.473824,2483.448546,1543.772869,1161.221114,2815.885134,2234.068021,1820.629196,1796.275004,2486.005984,N,S,1,3,-87.69772606,42.0508897
3321,1088,1.10E+11,Darrow Ave,-87.697407,42.050225,-87.69738612,42.05116597,-87.697368,42.052107,N,1.70E+11,1.70E+11,R4,R4,3355.663005,2826.91816,762.9187528,1023.275983,2578.933024,1444.301609,1207.84226,2924.930615,2173.325663,1810.751505,1904.738947,2387.692524,N,E,0,3,-87.69772606,42.0508897
