Block_ID,total_students,sch_BESSIE_RHODES,sch_CHUTE,sch_DAWES,sch_DEWEY,sch_HAVEN,sch_KINGLAB,sch_KINGSLEY,sch_LINCOLN,sch_LINCOLNWOOD,sch_NICHOLS,sch_OAKTON,sch_ORRINGTON,sch_WALKER,sch_WASHINGTON,sch_WILLARD,g_K_2,g_3_5,g_6_8,twi_ENG,twi_OTHER,twi_SPAN,race_BLACK,race_HISPANIC,race_MULTI,race_OTHER,race_WHITE,frl
1,60,2,3,2,3,4,16,2,2,0,2,0,4,0,0,20,22,19,19,2,11,13,29,28,1,0,2,53
2,51,0,2,0,25,2,4,0,0,0,13,4,0,0,1,0,15,19,17,2,2,14,24,21,6,0,0,38
3,92,13,5,0,1,12,21,0,3,0,1,2,4,1,0,29,32,33,27,0,0,12,58,25,6,0,3,88
4,25,0,3,0,0,9,2,0,0,9,0,0,0,0,0,2,6,7,12,0,0,6,6,6,10,0,3,16
5,89,6,5,1,1,20,5,0,0,1,0,0,2,2,4,42,24,37,28,1,2,41,27,54,2,0,6,76
6,136,4,4,2,5,28,10,2,2,48,0,6,0,5,9,11,49,53,34,0,5,36,63,60,2,2,9,110
7,89,6,1,0,0,20,10,0,0,37,0,0,7,1,0,7,29,32,28,1,5,7,46,29,11,1,2,74
8,91,17,1,3,0,24,2,1,0,2,2,7,8,0,2,22,28,28,35,2,2,25,42,40,7,2,0,82
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,0,0,0,0,8,0,0,0,0,0,0,0,0,0,19,6,13,8,0,0,0,4,9,0,0,14,0
27,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,2,4,0,0,0,0,0,1,1,4,0
28,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,9,3,2,0,0,0,0,0,0,0,14,4
29,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,1,4,9,0,0,0,0,0,1,0,13,0
30,62,0,0,0,0,28,0,4,0,0,0,0,0,0,0,30,13,21,28,4,0,0,3,2,3,0,54,0
31,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,2,2,2,0,0,0,0,0,0,8,0
32,12,0,0,0,0,2,2,5,0,0,0,0,0,0,0,3,4,4,2,0,0,0,0,2,1,0,8,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,0,0,2,4,0,2,2
35,14,3,2,2,0,0,0,0,0,0,2,3,0,0,2,0,6,4,4,0,0,6,6,8,0,0,0,11
36,32,4,1,2,0,0,0,0,0,0,2,0,0,0,23,0,19,9,4,4,0,4,7,8,0,0,17,9
37,70,3,3,0,2,0,11,0,5,0,13,0,0,0,33,0,18,31,21,2,6,11,35,15,3,7,10,47
38,23,0,8,9,0,0,0,0,0,0,2,0,0,0,4,0,6,7,10,0,0,13,2,17,0,0,4,18
39,6,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,0,0,0,6,0,0,0,0,5
40,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,0,0,2,4,0,2,2
41,6,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,0,0,0,6,0,0,0,0,5
42,12,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,2,0,6,0,0,6,4
43,16,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,2,6,2,8,2,0,4,12
44,22,0,4,16,0,0,2,0,0,0,0,0,0,0,0,0,12,6,4,3,0,0,4,0,3,0,15,8
45,24,1,5,1,0,0,4,0,0,0,0,0,0,4,9,0,12,5,7,0,1,8,8,9,0,0,7,12
46,19,0,3,11,0,1,0,0,0,0,0,0,1,0,0,3,4,11,4,3,0,0,6,0,7,0,6,4
47,15,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,8,6,1,7,2,3,1,7,1,0,6,5
48,25,2,2,0,0,0,0,0,0,0,7,0,0,0,14,0,10,7,10,3,0,4,6,7,2,0,11,11
49,13,1,0,0,1,0,0,0,0,0,3,0,0,0,8,0,7,2,4,4,0,2,4,2,0,0,7,0
50,62,0,0,0,0,0,0,1,0,0,29,2,0,0,30,0,16,17,29,1,0,40,6,49,5,0,2,57
51,31,0,2,0,0,0,3,0,0,0,11,0,0,0,15,0,13,5,13,5,3,8,4,16,4,0,7,19
52,35,0,0,0,0,0,1,0,1,0,7,0,0,0,26,0,15,12,8,6,0,3,0,16,3,0,16,14
53,25,2,2,0,0,0,0,0,0,0,7,0,0,0,14,0,10,7,10,3,0,4,6,7,2,0,11,11
54,58,8,0,0,0,2,0,0,0,0,18,0,0,0,30,0,17,20,21,4,0,14,19,13,4,0,22,34
55,28,0,0,0,3,0,2,1,0,0,9,0,0,4,9,0,9,9,10,1,2,0,13,7,0,0,8,13
56,41,0,0,0,0,0,0,2,0,0,11,1,0,0,27,0,12,18,11,6,2,10,12,19,0,0,10,27
57,46,0,2,3,0,0,2,0,0,0,9,4,0,0,26,0,21,14,11,11,0,13,11,23,6,0,6,28
58,26,0,0,0,0,0,4,0,0,0,4,1,0,0,17,0,11,10,5,4,0,5,2,9,0,0,15,11
59,41,1,1,0,22,1,6,0,0,0,9,0,1,0,0,0,13,11,17,4,1,3,12,11,1,1,16,17
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,32,0,0,0,0,0,2,0,0,0,14,0,0,0,15,1,9,8,15,1,0,10,5,13,2,0,12,15
62,66,0,0,0,40,1,0,0,4,1,16,0,0,0,4,0,24,25,17,8,4,8,17,8,4,0,37,17
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,47,2,10,2,0,2,7,0,0,1,2,2,4,13,2,0,18,15,14,0,3,9,21,19,7,0,0,30
65,13,3,0,0,0,2,6,0,0,2,0,0,0,0,0,0,4,5,4,0,0,0,6,1,4,2,0,6
66,71,0,0,0,0,14,4,0,0,53,0,0,0,0,0,0,25,30,16,0,0,0,21,0,0,2,48,16
67,37,0,0,0,0,12,0,0,0,25,0,0,0,0,0,0,13,12,12,0,0,0,1,0,1,9,26,5
68,43,0,0,0,0,18,1,0,0,23,0,0,1,0,0,0,14,10,19,0,0,0,0,0,2,4,37,0
69,20,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,9,7,4,0,0,0,0,3,0,0,17,0
70,27,0,0,0,0,9,9,0,0,9,0,0,0,0,0,0,6,8,13,0,0,0,0,2,0,6,19,0
71,33,3,0,0,0,12,0,17,0,1,0,0,0,0,0,0,5,15,13,0,0,0,0,0,8,0,25,0
72,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,16,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,1,0,14,0
75,15,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,3,5,7,0,2,0,0,0,1,3,11,0
76,9,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,4,2,3,0,0,0,2,1,0,1,4,3
77,33,0,4,0,4,10,0,7,0,2,0,0,0,0,0,6,8,11,14,2,0,14,15,18,0,0,0,29
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,11,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,2,0,9,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,15,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,9,0,2,0,2,3,4,4,2,0
85,43,6,8,0,0,0,10,0,0,0,0,4,0,15,0,0,11,19,13,0,8,0,18,9,3,0,13,33
86,56,12,8,0,0,3,7,0,0,0,2,0,0,20,4,0,19,20,17,0,9,8,17,13,5,1,20,39
87,69,9,12,0,2,1,17,0,0,0,0,0,0,21,3,4,24,27,18,0,6,10,12,23,11,9,14,34
88,13,2,3,1,0,0,0,0,0,0,0,0,0,7,0,0,7,3,3,1,0,0,2,8,2,1,0,1
89,17,11,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,10,5,0,0,0,0,2,6,5,4,9
90,17,3,7,0,0,0,0,0,0,0,0,0,0,7,0,0,5,4,8,0,4,0,7,1,0,5,4,9
91,34,0,12,4,0,0,2,0,0,0,0,0,0,16,0,0,10,11,13,0,8,0,20,8,0,0,6,28
92,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
93,18,9,3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6,6,1,0,0,0,4,0,6,8,1
94,22,0,5,0,0,0,4,0,0,0,0,0,0,13,0,0,5,10,7,0,2,0,0,12,2,0,8,7
95,8,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,2,0,0,0,0,1,2,2,1,2,4
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,5,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,4,0,1,0,0,4
98,21,0,1,0,0,0,5,0,1,0,0,0,0,14,0,0,8,11,2,0,4,0,10,7,0,0,4,20
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
101,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
102,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
103,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
104,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,1,1,0,1,3,2
105,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,1,1,0,1,3,2
106,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,1,1,0,1,3,2
107,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,1,1,0,1,3,2
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,31,2,8,0,0,0,4,0,0,0,0,0,0,17,0,0,10,7,14,0,1,0,0,0,2,4,25,2
110,19,4,7,0,1,0,0,0,0,0,0,0,0,7,0,0,4,8,7,0,0,0,4,5,7,0,3,1
111,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,3,0,1,1,2,2
112,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
113,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
114,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
115,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,3,0,1,1,2,2
116,17,6,0,0,0,1,4,0,0,0,0,0,0,6,0,0,8,6,4,0,1,0,7,1,4,1,6,4
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
119,10,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,4,2,4,0,1,0,4,2,2,0,2,6
120,17,6,0,0,0,1,4,0,0,0,0,0,0,6,0,0,8,6,4,0,1,0,7,1,4,1,6,4
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,10,0,2,5,0,0,3,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,1,1,1,0,8,1
123,14,0,3,7,0,0,4,0,0,0,0,0,0,0,0,0,5,5,4,2,1,0,0,6,2,0,6,0
124,109,3,29,46,0,1,9,0,0,0,1,11,0,7,2,0,36,38,35,4,18,48,33,56,3,6,11,103
125,51,0,13,33,0,0,5,0,0,0,0,0,0,0,0,0,21,15,15,1,0,11,16,13,4,6,12,30
126,29,0,16,7,0,0,0,0,1,0,2,0,0,0,3,0,6,5,18,5,1,7,2,9,0,0,18,7
127,103,4,35,40,0,0,8,0,0,0,2,2,0,0,12,0,23,40,40,5,7,23,44,35,2,0,22,70
128,24,0,6,11,0,0,2,0,3,0,0,0,0,2,0,0,3,14,7,0,6,2,17,2,2,0,3,17
129,22,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,3,0,0,2,0,0,0,20,3
130,17,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,1,0,7,1,10,0,3,4,5
131,19,0,5,4,0,0,6,0,0,0,0,4,0,0,0,0,5,7,7,0,0,2,2,2,0,0,15,2
132,17,0,4,8,0,1,3,0,0,0,0,0,1,0,0,0,3,7,7,1,2,0,0,4,2,0,11,0
133,11,4,2,0,0,0,4,0,0,0,0,0,0,1,0,0,6,1,4,0,2,0,7,2,0,0,2,0
134,17,4,3,0,0,0,4,0,0,0,2,0,0,3,1,0,2,6,9,1,0,0,1,3,2,0,11,4
